"Model.Technique","SplitRatio","Threshold","Training.AUC","Test.AUC","TrainingSet.Accuracy","TestSet.Accuracy","Next.Variable","Prediction.Formula"
"glm",0.6,0.5,0.684969889595181,0.653123278348511,0.632004794725802,0.610961365678347,"Q112478","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q112478"
"glm",0.8,0.5,0.676720554328701,0.661746119194996,0.630112359550562,0.616352201257862,"Q112478","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q112478"
"glm",0.999,0.5,0.673775475474149,1,0.624077739787655,1,"Q112478","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q112478"
"glm",0.6,0.5,0.6849444731256,0.652391677739249,0.632004794725802,0.612309074573225,"Q113584","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q113584"
"glm",0.8,0.5,0.676392131724225,0.660947272904042,0.628089887640449,0.611859838274933,"Q113584","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q113584"
"glm",0.999,0.5,0.673596393450552,1,0.626956991182293,1,"Q113584","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q113584"
"glm",0.6,0.5,0.685070293662972,0.65258288232816,0.630506442912796,0.609164420485175,"Q99982","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q99982"
"glm",0.8,0.5,0.676441597844897,0.661308617169523,0.628089887640449,0.610062893081761,"Q99982","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q99982"
"glm",0.999,0.5,0.673625319585036,1,0.625697318697139,1,"Q99982","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q99982"
"glm",0.6,0.5,0.684949520367786,0.65258895874518,0.632604135451004,0.606469002695418,"Q116448","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q116448"
"glm",0.8,0.5,0.676454471200074,0.661613248209482,0.628089887640449,0.613656783468104,"Q116448","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q116448"
"glm",0.999,0.5,0.673596003435258,1,0.627136944394457,1,"Q116448","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q116448"
"glm",0.6,0.5,0.685328964825051,0.653907541238617,0.635001498351813,0.611859838274933,"Q105840","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q105840"
"glm",0.8,0.5,0.676783197899554,0.663533395987945,0.632808988764045,0.621743036837376,"Q105840","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q105840"
"glm",0.999,0.5,0.674156715426383,1,0.629296382940435,1,"Q105840","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q105840"
"glm",0.6,0.5,0.685013872705669,0.652628252908579,0.632903805813605,0.608715184186882,"Q117193","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q117193"
"glm",0.8,0.5,0.676467243190247,0.660728521891306,0.62876404494382,0.607367475292004,"Q117193","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q117193"
"glm",0.999,0.5,0.673631949845076,1,0.626237178333633,1,"Q117193","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q117193"
"glm",0.6,0.5,0.686837188945674,0.652413957934993,0.630506442912796,0.608715184186882,"Q120472","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q120472"
"glm",0.8,0.5,0.678089285942357,0.659892406909293,0.627191011235955,0.61455525606469,"Q120472","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q120472"
"glm",0.999,0.5,0.674700266744465,1,0.627136944394457,1,"Q120472","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q120472"
"glm",0.6,0.5,0.685103461254487,0.651714764883172,0.63679952052742,0.608715184186882,"Q121011","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q121011"
"glm",0.8,0.5,0.676478494705402,0.660944032148297,0.630786516853933,0.610062893081761,"Q121011","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q121011"
"glm",0.999,0.5,0.673592883312884,1,0.625517365484974,1,"Q121011","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q121011"
"glm",0.6,0.5,0.685091924700915,0.652747755776647,0.635301168714414,0.610961365678347,"Q124122","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q124122"
"glm",0.8,0.5,0.676717513378663,0.661344265482711,0.629887640449438,0.615453728661276,"Q124122","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q124122"
"glm",0.999,0.5,0.673757599773066,1,0.625697318697139,1,"Q124122","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q124122"
"glm",0.6,0.5,0.68510219944394,0.652155102569921,0.6317051243632,0.606469002695418,"Q106042","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q106042"
"glm",0.8,0.5,0.676385948459139,0.661329682081862,0.626741573033708,0.611859838274933,"Q106042","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q106042"
"glm",0.999,0.5,0.673643065281022,1,0.626956991182293,1,"Q106042","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q106042"
"glm",0.6,0.5,0.684981966924702,0.652845383543442,0.6317051243632,0.608715184186882,"Q118237","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q118237"
"glm",0.8,0.5,0.676524818511034,0.661647276144796,0.629887640449438,0.609164420485175,"Q118237","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q118237"
"glm",0.999,0.5,0.673752009553816,1,0.627496850818787,1,"Q118237","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q118237"
"glm",0.6,0.5,0.685712374972602,0.652011294033769,0.639196883428229,0.604222821203953,"Q96024","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q96024"
"glm",0.8,0.5,0.676876656430826,0.661055838221474,0.632808988764045,0.610961365678347,"Q96024","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q96024"
"glm",0.999,0.5,0.673984523673021,1,0.625517365484974,1,"Q96024","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q96024"
"glm",0.6,0.5,0.685121847636736,0.651167077162396,0.632004794725802,0.607367475292004,"Q108855","Party ~ YOB + Income + EducationLevel + Q109244 + HouseholdStatus + Q115611 + Q113181 + Q98197 + Q101163 + Q108855"
